Date,Day_Of_Week,Is_Weekend,Total_Daily_Vehicles,Total_Cars,Total_Bikes,Total_Buses,Total_Trucks,Avg_Daily_PCU,Max_Peak_Hour_PCU,Heavy_Vehicle_Percentage,Peak_Hour_Vehicle_Share,Primary_Congestion_Level
1,Wednesday,0,11100,6658,1340,1584,1518,173.27,329.0,27.95,41.33,Heavy Traffic Bottleneck
2,Thursday,0,10983,6510,1334,1574,1565,172.85,337.0,28.58,41.92,Heavy Traffic Bottleneck
3,Friday,0,10415,6500,2115,787,1013,134.97,289.0,17.28,22.06,Moderate Regular Flow
4,Saturday,1,11288,6712,1410,1654,1512,176.2,330.5,28.05,39.69,Heavy Traffic Bottleneck
5,Sunday,1,11332,6984,1299,1467,1582,174.8,318.5,26.91,39.65,Heavy Traffic Bottleneck
6,Monday,0,11027,6555,1267,1638,1567,175.04,308.5,29.07,41.77,Heavy Traffic Bottleneck
7,Tuesday,0,11150,6660,1271,1638,1581,176.59,316.0,28.87,39.92,Heavy Traffic Bottleneck
8,Wednesday,0,11168,6731,1387,1566,1484,172.65,320.5,27.31,40.42,Heavy Traffic Bottleneck
9,Thursday,0,11117,6675,1336,1584,1522,173.55,313.0,27.94,40.55,Heavy Traffic Bottleneck
10,Tuesday,0,11559,7215,1438,1693,1213,173.46,325.5,25.14,38.67,Heavy Traffic Bottleneck
11,Wednesday,0,11344,6818,1411,1611,1504,175.71,306.0,27.46,39.69,Heavy Traffic Bottleneck
12,Thursday,0,10820,6348,1369,1596,1507,170.22,301.0,28.68,40.73,Heavy Traffic Bottleneck
13,Friday,0,10479,6710,2035,820,914,134.68,308.0,16.55,20.52,Moderate Regular Flow
14,Saturday,1,10770,6435,1338,1487,1510,167.66,325.0,27.83,42.38,Heavy Traffic Bottleneck
15,Sunday,1,10936,6383,1340,1648,1565,173.88,314.5,29.38,41.01,Heavy Traffic Bottleneck
16,Monday,0,10713,6384,1242,1527,1560,169.44,293.5,28.82,40.56,Heavy Traffic Bottleneck
17,Tuesday,0,10682,6388,1239,1505,1550,168.46,291.0,28.6,41.74,Heavy Traffic Bottleneck
18,Wednesday,0,11295,6648,1334,1642,1671,179.73,306.0,29.33,40.12,Heavy Traffic Bottleneck
19,Thursday,0,10954,6559,1323,1646,1426,171.21,306.0,28.04,41.83,Heavy Traffic Bottleneck
20,Friday,0,10576,6727,2131,740,978,134.86,275.5,16.24,20.95,Moderate Regular Flow
21,Sunday,1,10844,6438,1291,1515,1600,171.13,316.0,28.73,40.25,Heavy Traffic Bottleneck
22,Saturday,1,11515,6829,1498,1587,1601,178.56,321.0,27.69,41.73,Heavy Traffic Bottleneck
23,Monday,0,10676,6433,1237,1494,1512,167.39,302.5,28.16,40.39,Heavy Traffic Bottleneck
24,Tuesday,0,10819,6400,1351,1467,1601,169.58,309.0,28.36,39.87,Heavy Traffic Bottleneck
25,Wednesday,0,10947,6569,1232,1540,1606,173.16,315.5,28.74,40.71,Heavy Traffic Bottleneck
26,Thursday,0,11116,6612,1271,1627,1606,176.53,316.5,29.08,41.4,Heavy Traffic Bottleneck
27,Friday,0,10510,6541,2171,807,991,135.63,304.5,17.11,21.29,Moderate Regular Flow
28,Saturday,1,10913,6470,1378,1423,1642,170.35,303.5,28.09,38.99,Heavy Traffic Bottleneck
29,Sunday,1,10801,6265,1360,1545,1631,171.59,300.5,29.4,41.14,Heavy Traffic Bottleneck
30,Monday,0,10960,6521,1318,1547,1574,172.32,316.5,28.48,41.9,Heavy Traffic Bottleneck
31,Tuesday,0,11105,6763,1328,1513,1501,171.55,339.0,27.14,41.81,Heavy Traffic Bottleneck
