Traffic_ID,Date,Time,Time_24Hr,Hour,Day_Of_Week,Is_Weekend,Is_Peak_Hour,Day_Part,Car_Count,Bike_Count,Bus_Count,Truck_Count,Total_Vehicles,PCU_Score,Congestion_Index,Heavy_Vehicle_Ratio,Bus_To_Car_Ratio,Traffic_Situation,Day_Type,Rush_Hour_Category,Commercial_Vehicle_Share,Car_Volume_Percentage
1,1,12:00:00 AM,00:00:00,0,Wednesday,0,0,Night,14,0,0,34,48,116.0,0.69,0.7083,0.0,normal,Weekday,Off-Peak Hours,0.7083,29.17
2,1,12:15:00 AM,00:15:00,0,Wednesday,0,0,Night,17,5,0,23,45,88.5,0.53,0.5111,0.0,normal,Weekday,Off-Peak Hours,0.5111,37.78
3,1,12:30:00 AM,00:30:00,0,Wednesday,0,0,Night,19,1,1,18,39,76.5,0.46,0.4872,0.05,normal,Weekday,Off-Peak Hours,0.4872,48.72
4,1,12:45:00 AM,00:45:00,0,Wednesday,0,0,Night,15,5,1,12,33,56.5,0.34,0.3939,0.0625,low,Weekday,Off-Peak Hours,0.3939,45.45
5,1,1:00:00 AM,01:00:00,1,Wednesday,0,0,Night,13,2,1,26,42,95.0,0.57,0.6429,0.0714,normal,Weekday,Off-Peak Hours,0.6429,30.95
6,1,1:15:00 AM,01:15:00,1,Wednesday,0,0,Night,15,3,0,32,50,112.5,0.67,0.64,0.0,normal,Weekday,Off-Peak Hours,0.64,30.0
7,1,1:30:00 AM,01:30:00,1,Wednesday,0,0,Night,15,0,1,13,29,57.0,0.34,0.4828,0.0625,normal,Weekday,Off-Peak Hours,0.4828,51.72
8,1,1:45:00 AM,01:45:00,1,Wednesday,0,0,Night,18,5,1,12,36,59.5,0.35,0.3611,0.0526,low,Weekday,Off-Peak Hours,0.3611,50.0
9,1,2:00:00 AM,02:00:00,2,Wednesday,0,0,Night,17,1,0,29,47,104.5,0.62,0.617,0.0,normal,Weekday,Off-Peak Hours,0.617,36.17
10,1,2:15:00 AM,02:15:00,2,Wednesday,0,0,Night,10,4,0,19,33,69.0,0.41,0.5758,0.0,normal,Weekday,Off-Peak Hours,0.5758,30.3
11,1,2:30:00 AM,02:30:00,2,Wednesday,0,0,Night,15,0,0,18,33,69.0,0.41,0.5455,0.0,normal,Weekday,Off-Peak Hours,0.5455,45.45
12,1,2:45:00 AM,02:45:00,2,Wednesday,0,0,Night,11,0,0,35,46,116.0,0.69,0.7609,0.0,normal,Weekday,Off-Peak Hours,0.7609,23.91
13,1,3:00:00 AM,03:00:00,3,Wednesday,0,0,Night,20,5,1,34,60,127.5,0.76,0.5833,0.0476,normal,Weekday,Off-Peak Hours,0.5833,33.33
14,1,3:15:00 AM,03:15:00,3,Wednesday,0,0,Night,15,5,1,32,53,116.5,0.69,0.6226,0.0625,normal,Weekday,Off-Peak Hours,0.6226,28.3
15,1,3:30:00 AM,03:30:00,3,Wednesday,0,0,Night,16,4,1,37,58,132.0,0.79,0.6552,0.0588,normal,Weekday,Off-Peak Hours,0.6552,27.59
16,1,3:45:00 AM,03:45:00,3,Wednesday,0,0,Night,14,1,0,12,27,50.5,0.3,0.4444,0.0,low,Weekday,Off-Peak Hours,0.4444,51.85
17,1,4:00:00 AM,04:00:00,4,Wednesday,0,0,Night,16,4,0,18,38,72.0,0.43,0.4737,0.0,normal,Weekday,Off-Peak Hours,0.4737,42.11
18,1,4:15:00 AM,04:15:00,4,Wednesday,0,0,Night,56,21,3,0,80,75.5,0.45,0.0375,0.0526,low,Weekday,Off-Peak Hours,0.0375,70.0
19,1,4:30:00 AM,04:30:00,4,Wednesday,0,0,Night,78,11,10,18,117,167.5,1.0,0.2393,0.1266,normal,Weekday,Off-Peak Hours,0.2393,66.67
20,1,4:45:00 AM,04:45:00,4,Wednesday,0,0,Night,82,29,0,20,131,156.5,0.93,0.1527,0.0,normal,Weekday,Off-Peak Hours,0.1527,62.6
21,1,5:00:00 AM,05:00:00,5,Wednesday,0,0,Morning,102,15,2,7,126,136.5,0.81,0.0714,0.0194,normal,Weekday,Off-Peak Hours,0.0714,80.95
22,1,5:15:00 AM,05:15:00,5,Wednesday,0,0,Morning,69,14,6,18,107,148.0,0.88,0.2243,0.0857,normal,Weekday,Off-Peak Hours,0.2243,64.49
23,1,5:30:00 AM,05:30:00,5,Wednesday,0,0,Morning,87,24,6,19,136,174.0,1.04,0.1838,0.0682,normal,Weekday,Off-Peak Hours,0.1838,63.97
24,1,5:45:00 AM,05:45:00,5,Wednesday,0,0,Morning,84,16,10,5,115,137.0,0.82,0.1304,0.1176,normal,Weekday,Off-Peak Hours,0.1304,73.04
25,1,6:00:00 AM,06:00:00,6,Wednesday,0,1,Morning,109,38,34,5,186,245.0,1.46,0.2097,0.3091,heavy,Weekday,Off-Peak Hours,0.2097,58.6
26,1,6:15:00 AM,06:15:00,6,Wednesday,0,1,Morning,147,38,23,3,211,244.0,1.45,0.1232,0.1554,heavy,Weekday,Off-Peak Hours,0.1232,69.67
27,1,6:30:00 AM,06:30:00,6,Wednesday,0,1,Morning,135,19,48,5,207,303.5,1.81,0.256,0.3529,heavy,Weekday,Off-Peak Hours,0.256,65.22
28,1,6:45:00 AM,06:45:00,6,Wednesday,0,1,Morning,101,23,41,5,170,250.5,1.49,0.2706,0.402,heavy,Weekday,Off-Peak Hours,0.2706,59.41
29,1,7:00:00 AM,07:00:00,7,Wednesday,0,1,Morning,138,21,28,1,188,235.5,1.4,0.1543,0.2014,heavy,Weekday,Morning Rush (7-10 AM),0.1543,73.4
30,1,7:15:00 AM,07:15:00,7,Wednesday,0,1,Morning,136,20,32,1,189,245.0,1.46,0.1746,0.2336,heavy,Weekday,Morning Rush (7-10 AM),0.1746,71.96
31,1,7:30:00 AM,07:30:00,7,Wednesday,0,1,Morning,123,19,25,5,172,222.5,1.32,0.1744,0.2016,heavy,Weekday,Morning Rush (7-10 AM),0.1744,71.51
