Time,Date,Car_Count,Bike_Count,Bus_Count,Truck_Count,Total_Vehicles,Day_Of_Week,Traffic_Situation,Time_24Hr,Hour,PCU_Score,Heavy_Vehicle_Ratio,Car_Ratio,Is_Peak_Hour,Is_Weekend,Hour_Sin,Hour_Cos,Day_Part,Is_Severe_Rush_Hour,Bus_To_Car_Ratio,Heavy_Vehicle_PCU_Share,Congestion_Index,PCU_Lag_15Min,PCU_Rolling_1Hr_Avg
12:00:00 AM,1,14,0,0,34,48,Wednesday,normal,00:00:00,0,116.0,0.7083,0.2917,0,0,0.0,1.0,Night,0,0.0,0.8793,0.69,116.0,116.0
12:15:00 AM,1,17,5,0,23,45,Wednesday,normal,00:15:00,0,88.5,0.5111,0.3778,0,0,0.0,1.0,Night,0,0.0,0.7797,0.53,116.0,102.25
12:30:00 AM,1,19,1,1,18,39,Wednesday,normal,00:30:00,0,76.5,0.4872,0.4872,0,0,0.0,1.0,Night,0,0.05,0.7451,0.46,88.5,93.67
12:45:00 AM,1,15,5,1,12,33,Wednesday,low,00:45:00,0,56.5,0.3939,0.4545,0,0,0.0,1.0,Night,0,0.0625,0.6903,0.34,76.5,84.38
1:00:00 AM,1,13,2,1,26,42,Wednesday,normal,01:00:00,1,95.0,0.6429,0.3095,0,0,0.2588,0.9659,Night,0,0.0714,0.8526,0.57,56.5,79.12
1:15:00 AM,1,15,3,0,32,50,Wednesday,normal,01:15:00,1,112.5,0.64,0.3,0,0,0.2588,0.9659,Night,0,0.0,0.8533,0.67,95.0,85.12
1:30:00 AM,1,15,0,1,13,29,Wednesday,normal,01:30:00,1,57.0,0.4828,0.5172,0,0,0.2588,0.9659,Night,0,0.0625,0.7368,0.34,112.5,80.25
1:45:00 AM,1,18,5,1,12,36,Wednesday,low,01:45:00,1,59.5,0.3611,0.5,0,0,0.2588,0.9659,Night,0,0.0526,0.6555,0.35,57.0,81.0
2:00:00 AM,1,17,1,0,29,47,Wednesday,normal,02:00:00,2,104.5,0.617,0.3617,0,0,0.5,0.866,Night,0,0.0,0.8325,0.62,59.5,83.38
2:15:00 AM,1,10,4,0,19,33,Wednesday,normal,02:15:00,2,69.0,0.5758,0.303,0,0,0.5,0.866,Night,0,0.0,0.8261,0.41,104.5,72.5
2:30:00 AM,1,15,0,0,18,33,Wednesday,normal,02:30:00,2,69.0,0.5455,0.4545,0,0,0.5,0.866,Night,0,0.0,0.7826,0.41,69.0,75.5
2:45:00 AM,1,11,0,0,35,46,Wednesday,normal,02:45:00,2,116.0,0.7609,0.2391,0,0,0.5,0.866,Night,0,0.0,0.9052,0.69,69.0,89.62
3:00:00 AM,1,20,5,1,34,60,Wednesday,normal,03:00:00,3,127.5,0.5833,0.3333,0,0,0.7071,0.7071,Night,0,0.0476,0.8235,0.76,116.0,95.38
